image_file,link,credit
2022_03_22_360Pano_Conference_room_1-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_22_360Pano_Conference_room_1-CC.jpg,NOIRLab/NSF/AURA/ T. Slovinský
2022_03_22_360Pano_Library-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_22_360Pano_Library-CC.jpg,NOIRLab/NSF/AURA/ P. Horálek
2022_03_22_360Pano_Reception-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_22_360Pano_Reception-CC.jpg,NOIRLab/NSF/AURA/ T. Slovinský
2022_03_25_360Pano_Hiltner_2p4_Outside-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_25_360Pano_Hiltner_2p4_Outside-CC.jpg,KPNO/NOIRLab/NSF/AURA/P. Horálek
2022_03_29_Gemini_North_Spectrometer2-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Gemini_North_Spectrometer2-CC.jpg,NOIRLab/AURA/NSF/P. Horálek
2022_03_29_Hilo_360_Control_Room_2-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Control_Room_2-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/P. Horálek
2022_03_29_Hilo_360_Control_Room_CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Control_Room_CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/ P. Horálek
2022_03_29_Hilo_360_Coridor_1-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Coridor_1-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/ P. Horálek
2022_03_29_Hilo_360_Coridor_2-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Coridor_2-CC.jpg,NOIRLab/NSF/AURA/P. Horálek
2022_03_29_Hilo_360_Director_Office-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Director_Office-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/ P. Horálek
2022_03_29_Hilo_360_Lab2-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Lab2-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/ P. Horálek
2022_03_29_Hilo_360_Library-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Library-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/P. Horálek
2022_03_29_Hilo_360_Small_Conference_Hall-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_29_Hilo_360_Small_Conference_Hall-CC.jpg,NOIRLab/NSF/AURA/P. Horálek
2022_03_30_Hilo_360_Entrance_Inside_6-CC.jpg,https://storage.noirlab.edu/media/archives/images/large/2022_03_30_Hilo_360_Entrance_Inside_6-CC.jpg,International Gemini Observatory/NOIRLab/NSF/AURA/ P. Horálek
