Image,Video,Frame_Index
8K2D_FlowStateStabilization_Walking_001_1.jpg,8K2D_FlowState Stabilization_ Walking_H265.mp4,434
8K2D_FlowStateStabilization_Walking_001_2.jpg,8K2D_FlowState Stabilization_ Walking_H265.mp4,1183
8K2D_OutdoorConcert_0001.jpg,8K2D_Outdoor Concert_H265.mp4,14
8K2D_TokyoDayandNight_1_1.jpg,8K2D_Tokyo Day and Night_1_H265.mp4,76
8K2D_TokyoDayandNight_1_2.jpg,8K2D_Tokyo Day and Night_1_H265.mp4,376
8K2D_TokyoDayandNight_2_1.jpg,8K2D_Tokyo Day and Night_2_H265.mp4,106
8K2D_TokyoDayandNight_2_2.jpg,8K2D_Tokyo Day and Night_2_H265.mp4,403
8K2D_TokyoDayandNight_3_1.jpg,8K2D_Tokyo Day and Night_3_H265.mp4,124
8K2D_TokyoDayandNight_3_2.jpg,8K2D_Tokyo Day and Night_3_H265.mp4,166
8K2D_TokyoDayandNight_4_1.jpg,8K2D_Tokyo Day and Night_4_H265.mp4,196
Sample#4_8K2D_FlowState_PassTheWoods_1.jpg,Sample #4_8K2D_FlowState_PassTheWoods_H265.mp4,584
Sample#5_8K2D_FlowState_RunningAerial_1.jpg,Sample#5_8K2D_FlowState_Running&Aerial.mp4,134
Sample#5_8K2D_FlowState_RunningAerial_2.jpg,Sample#5_8K2D_FlowState_Running&Aerial.mp4,254
Sample#5_8K2D_FlowState_RunningAerial_3.jpg,Sample#5_8K2D_FlowState_Running&Aerial.mp4,344
Sample#6_8K2D_ship_1.jpg,Sample#6_8K2D_ship.mp4,284
Sample#7_8K2D_Shanghai_0001.jpg,Sample#7_8K2D_Shanghai.mp4,14
Sample#7_8K2D_Shanghai_0002.jpg,Sample#7_8K2D_Shanghai.mp4,44
Sample#7_8K2D_Shanghai_0003.jpg,Sample#7_8K2D_Shanghai.mp4,74
Sample#7_8K2D_Shanghai_0004.jpg,Sample#7_8K2D_Shanghai.mp4,104
